sentence,eyewitnessed
"RT @YTF_Philippines: RT Families stuck in the roof, 11 people, Bayabas ext. Nangka marikina, they need immediate help #RescuePH @MMDA",Eyewitness
RT @AnnValerio: University of Santo Tomas (UST) Hospital needs food for the patients and staff. #rescuePH,Eyewitness
RT @princessu1: RT pls @suzy899 #ReliefPH All Ayala Malls accepting donations 4 flood victims.just go to concierge booths in Ayala Malls ...,NotEyewitness
"#rescuePH “@CESC_1213: PLEASE HELP US SEEK RESCUE FOR OUR FRIEND!:( Jaja Vigilia, 09159166833, #3 Sampaguita St. IVC Marikina City",Eyewitness
"RT @dennismendiola: SMART subs, in case you run out of LOAD. you get a lifeline of few more texts... simply dial *767 (*SOS) #RescuePH",NotEyewitness
RT People at Kingsville and Filinvest East Antipolo needs immediate help. Yung ibang tao nasa bubong na daw. @MMDA @ANCALERTS #rescueph,Eyewitness
RT @Pinoy_Humor: Please TWEET and USE hashtags #ReliefPH (relief ops) #RescuePH (Rescue concerns) #FloodsPH (flood news) #PHalerts (gove ...,NotEyewitness
RT @YouScoopGMA: YouScoop: UE students spent the night in Manila campus after flood prevented them from leaving http://t.co/B0z5YNjf.,NotEyewitness
RT @piacayetano: @_BringYourAGame: Flood in UST HOSPITAL is now on the 2nd floor. NO FOOD for the patients n staff #rescuePH @piacayet ...,Eyewitness
RT @kaayaAIA: #RescuePH RT @PTVph: If you know people who need to be rescued: PLEASE CONTACT COAST GUARD 0917-PCGDOTC (0917-7243682),NotEyewitness
"RT @TheKenNarvato: SPREAD! Families stuck in the roof, 11 people, Bayabas ext. Nangka marikina, they need immediate help #RescuePH @MMDA",Eyewitness
@gmanews  Malanday Marikina near natinal high school purok 3. Melyn Pabustan with 3 kids 09175119505 #rescuePH,NotEyewitness
"RT “@Q13_: RT #RescuePH Jeremy Orlina (UA&amp;P 1st Yr) B4 L4 Narra St., Dacon Homes, Cainta, Rizal 09179957335. Flooding + In need of Food”",Eyewitness
@byahilo @airphilexpress Via MAnila and clark daw. But what about those who don't want to fly to manila and face the floods? Be considerate.,NotEyewitness
RT @TourismPinas: RT @iyamaniya: PLS HELP THE STUDENTS IN UST DORMS!! My sister's blockmates are running out of food!!! #RescuePH,Eyewitness
RT please Join us as we make 6PM our time of prayer for our country. 5 minutes to go. #PrayForThePhilippines #rescuePH,NotEyewitness
"#RescuePH @MMDA  FAMILIES STUCK ON THE ROOF,11 PEOPLE , BAYABAS EXT. NANGKA MARIKINA!!!",Eyewitness
"#RescuePH Jeremy Orlina (UA&amp;P 1st Yr) B4 L4 Narra St., Dacon Homes, Cainta, Rizal 09179957335. Flooding + In need of Food @DivinemLee",Eyewitness
RT @patevangelista: Photo by Carlo Gabuco @rapplerdotcom: Photo: Marikina river taken roughly at 5:45pm. #FloodsPH http://t.co/dPOzm2ts,Eyewitness
RT @inquirerdotnet: RT @erwinaguilon: No classes in Manila tomorrow. ALL LEVELS- Mayor Lim #floodsPH,NotEyewitness
RT @merphi: #RescuePH @iraramosxx 86 and 84 yr oldcouple stuck on rooftop since last night. 97 west riverside cor kentucky st. SDFM QC c ...,Eyewitness
RT @TsardChua: If you see animals or pets in need of rescue please contact PETA. Call 817-5292. Thank you. #rescueph #FloodMNL Pls RT,NotEyewitness
RT @TheKenNarvato: We should not be just good Samaritans but we need to be Better Samaritans. #rescuePH #PrayForThePhilippines,NotEyewitness
"oh,, Pray for philippine : RT @NUESTCafe: SRENuest there's flood there :-(",NotEyewitness
RT @previewmag: Two important hash tags to take note of: #rescuePH #reliefPH Please make sure to use the correct one and RT! http://t.co ...,NotEyewitness
"@MMDA #rescuePH please help! stranded ang mga residente ng B53 L12 Teachers Village Catmon, Malabon! staying on top of their roofs!",NotEyewitness
#rescuePH Pregnant mom and small kids trapped in 5 feet flooded house #283 L.Dela Cruz St. Brgy.Isla Valenzuela City. 09053920969,Eyewitness
"RT @gayixings: I hope my fellow Pinoys are safe esp the ones who are involved in the heavy rain, flood, and landslide in Manila. :( #Pra ...",NotEyewitness
RT @chaikafrias: #rescuePH #PrayForThePhilipppines,NotEyewitness
RT @newsbreak_ph: We'll be using the unified hashtags #ReliefPH (for relief ops); #RescuePH (for rescue concerns); and #FloodsPH (for ge ...,NotEyewitness
"RT @kojimeno: Anyone near UST hospital? They need help badly. 2nd floor is flooded, patients &amp; staff have no food. #rescuePH",Eyewitness
“@BBCNews: Philippine capital hit by floods http://t.co/BOClXU9Y” this is awful... Wiped out whole families - how lucky we all are in the UK,NotEyewitness
"@miriamq, ma'am Please R E T W E E T! UERM Staff &amp; patients are in need of immediate ACTION/HELP. #rescuePH #reliefPH",Eyewitness
RT @khimp0t: @chemalynMercado  Malanday Marikina near natinal high school purok 3. Melyn Pabustan with 3 kids 09175119505 #rescuePH,Eyewitness
RT @miriamq: reported “@ElisRivac: #rescuePH Florentino bernardo and company: Antonette st.parkway villagd brgy apolonio samson. 09436051153,Eyewitness
"RT @heywhereyou: Hi @Twitter, can every tweet with hashtag #rescuePH be a $1 donation to the Philippines victims? - Pls retweet this unt ...",NotEyewitness
RT @ChaDaoTeaPlace: @ChaDaoTeaPlace Flood Relief Information #RescuePH Check poster for donation drop offs. SHARE IF U CARE! http://t.co ...,NotEyewitness
Stay Safe everyone! #floodsph,NotEyewitness
"RT @MissJonelyn: Photo of the flood in Manila, Philippines. The University of Santos Thomas field. (9/7/12) http://t.co/tqQT623u",Eyewitness
"RT @SavePHSeas: To NGOs &amp; charity organizations: if not accredited by DSWD, pls consign your imported donations to DSWD.#ReliefPH |  ...",NotEyewitness
RT @loyoung: If you need any help please use the hashtag #RescuePH. RT please!,NotEyewitness
RT @jascurtissmith: “@loyoung: If you need any help please use the hashtag #RescuePH. RT please!”,NotEyewitness
"RT @ermahgerdjiya: Hi @twitter, can every tweet with hashtag #rescuePH be a $1 donation to the Philippines victims?",Eyewitness
"RT @jujumber: Hi @twitter, can every tweet with hashtag #rescuePH be a $1 donation to the Philippines victims? - Pls retweet this until ...",NotEyewitness
RT @lexifernandez95: Have faith. #rescuePH #reliefPH #PrayerForThePhilippines,NotEyewitness
"Breaking: Massive floods inundate Manila, #Philippines. 1 million people are affected &amp; thousands forced to evacuate http://t.co/L5zHJWg7",NotEyewitness
"RT: @alexbunag For those who can donate medicines, please let @PRSSPUPM  know ASAP. Thank you! #reliefPH",NotEyewitness
RT @MgaKasabihan: #FLOODSph Fact: Genesis 8:7-12 is about Noah's Ark.. Today is 8-7-12.,NotEyewitness
"Hi @twitter, can every tweet with hashtag #rescuePH be a $1 donation to the Philippines victims? 6",NotEyewitness
The U.S. Embassy here in Manila looks like it is floating above the flood. It has been two weeks and the hea http://t.co/E6bhBJAU,NotEyewitness
RT @garysnowpatrol: Just seen the floods in Manila on TV. Sweet Jesus. I sincerely hope you and your loved ones are safe. Didn't realize ...,NotEyewitness
"RT @CaNdy_PBB4: Anyone from Malabon? Pls help Preggy Joann Fernandez, kids needing immediate #rescuePH at Kaingin 2 st. tenejeros, mala ...",Eyewitness
"“@servoie: Melyn Pabustan w/ 3 kids 09175119505 Purok 3, Malanday, Marikina; their house is near the national high school #rescuePH",Eyewitness
"RT @Jiannesport: Please help the people of Catmon, Malabon. They've been submerged in floods since morning.#rescuePH @rapplerdotcom @kea ...",Eyewitness
"RT @beabinene: And #reliefPH for details about relief operations, way to drop of donations, and other ways to help.",NotEyewitness
#ReliefPH Jollibee Foundation Coinbanks now accepts Funds for Flood-Affected Families http://t.co/Wa2ddFBP,NotEyewitness
RT @rosalesglee: UST HOSPITAL FOOD SHORTAGE @themayorlim #rescuePH,Eyewitness
RT @Official1D_PHIL: Remember you can help the victims of the flood by donating to Philippine Red Cross. More info on how here: http://t ...,NotEyewitness
Torrential rains pounding the Philippine capital on Tuesday paralyzed traffic as waist-deep floods triggered... http://t.co/o7pY7pYN,NotEyewitness
"@gmanews  @suzy899 #RescuePH my grandpa at camia st cor. cattleya twinville subd mrkna, he's 75yrs old &amp; nsa bubong sya since 10am. :(”",Eyewitness
"Aerial View of Manila Flood Aug 7th, 2012 (PLEASE HELP): http://t.co/IEgpXyGc via @youtube from Mikey Bustos",NotEyewitness
"RT @aldrecha17ramos: RT FEU, Science Building. Help is needed. There are 39 stranded students in there. #rescuePH Please send people the ...",Eyewitness
"To all LGUs responding better to calamities, #kudos to you! Rescuers and volunteers, may your valiance inspire all. #rescuePH #reliefPH",NotEyewitness
RT @TheMallofAsia: @TheMallofAsia Public Service Announcement &gt; Pls RT for faster response! Help is on the way!  #RescuePH #ReliefPH  ...,NotEyewitness
Does tweeting the contact details w hashtag #RescuePH actually help? Is there a number I can text to report people in danger?,Eyewitness
"RT @tineabesamisss: #rescuePH PLEASE RT!! Fellow speducator, Jaja Vagilia, and her family needs rescue!! #3 Sampaguita St. IVC Marikina  ...",Eyewitness
@noynoyaquino Rescue needed in Romualdez st. cor Kalentong. 1st house beside Caltex. Lolo and Lola residing. #RescuePH,Eyewitness
#RescuePH TUA and TUA hs pls open your doors.,NotEyewitness
#TBCBreaking RT@TIME: PHOTOS: Floods in Manila are displacing tens of thousands of people | http://t.co/BTi9Tkl2,NotEyewitness
Keep Calm and PACK YOUR THINGS!! #rescuePH #PrayforthePhilippines,NotEyewitness
RT @mariareinanika: @JodiStaMaria RT PLS. #rescuePH our warehouse caretaker in RODA COMPOUND CONCEPCION UNO BRGY.TUMANA is alone on the  ...,Eyewitness
RT @layadiokno: #ReliefPH Places where you can volunteer and/or send your donations https://t.co/uyx90kf4,NotEyewitness
#floodsph Is the most helpful? http://t.co/GJE5mlQW,NotEyewitness
RT @mowjojojo: PLEASE RT: UST Hospital &amp; UERM Medical Center staff &amp; patients need foods. Supply is very low.#reliefPH @Philstar ...,Eyewitness
RT @itscyee: PLEASE RT! NASA BUBONG WITH 1 Y/O BABY. CHARMAINE DEQUIT 64 LANGKA ST. BULELAK MALANDAY MARIKINA CITY 09172551204  #rescuePH,Eyewitness
💔 RT“@stylebibleph: @DivinemLee @CIANtonado:#saveUERM! Flood is about to reach the 3rd floor where the nursery is! PLS RT!!” #RescuePH”,Eyewitness
RT @mypanagsagan: Situation in UERM Hospital: Flood about to reach the 3rd Floor where the nursery is. #RescuePH PLEASE HELP THE BABIES :(,Eyewitness
"“@maltosers: Concepcion Integrated School in Marikina has 582 families, no food yet the whole day #RescuePH @DivinemLee",Eyewitness
"RT @JLmueden07: @miriamq FEU,Science Building.Help is needed.There are 39 stranded students in there.#rescuePH Please send people there  ...",Eyewitness
"RT @1515maine: Hi @twitter, can every tweet with hashtag #rescuePH be a $1 donation to the Philippines victims? - Pls retweet this until ...",NotEyewitness
RT @TIME: PHOTOS: Floods in Manila are displacing tens of thousands of people | http://t.co/3qLBSacC,NotEyewitness
RT @MgaKasabihan: #FLOODSph Fact: 90% of Metro Manila are flooded.,NotEyewitness
CERVINI WILL BE OPEN 24/7 TO ACCEPT YOUR DONATIONS. :) #RELIEFPH,NotEyewitness
"RT @ricagz: RT @giasison: Boss SOS generators abt to die UST Hospital still no help.UERM,PGH too.Pls RT thanks as always! #rescuePH @UST ...",Eyewitness
RT @RescuePH: RT @HeyItsMeChris48: UST Hospital is running out of food. They need help. @MMDA @gmanews @RescuePH #RescuePH,Eyewitness
"RT @callmeharryyy: @TomDaley1994 #rescuePH rescue me, i'm drowning with all these daley feels",Eyewitness
"RT @vm_alto: RT @SuperCakeFyu: #RescuePH roldan family,gen segundo st. Heroes hills. The mother has cancer. Theyre trapped on their roof ...",Eyewitness
"RT @jassabrina: UST, UERM, PGH and DELOS SANTOS hospital needs #RescuePH @ancalerts @143redangel @philyhusband @philredcross",Eyewitness
"RT @radikalchick: UERM needs help! Flood almost at the 3rd floor. Generators about to die, patients in critical condition. #rescuePH",Eyewitness
RT @govph: govph is using #PHalerts for government advisories and #rescuePH for rescue operations.,NotEyewitness
"RT @oohlalaaraaa: WE NEED HELP!!! 6 PEOPLE INSIDE HOUSE, ALONG BANAWE COR MACOPA STA. MESA HEIGHTS. PLEASE SPREAD!!! #RescuePH @bayanmo  ...",Eyewitness
"RT @PepiSison: Concepcion Integrated School (Marikina) has 582 families, no food yet the whole day. Please RT #rescuePH",Eyewitness
"HELP UERM HOSPITAL! Brownout &amp; ICU Patients on generator, generators about to die. Flood almost at 3rd flr where the nursery is. #RescuePH",Eyewitness
"RT @FreelanceWJ: Hi @twitter, can every tweet with hashtag #rescuePH be a $1 donation to the Philippines victims? - Pls retweet this unt ...",NotEyewitness
"Still verifying reports that there is a flood casualty in Calamba City, Laguna #FloodsPH",Eyewitness
#reliefph I cannot believe this is exactly actually taking place.. Los Angeles in some weeks! :) roadtrip http://t.co/jvrQ96a9,NotEyewitness
RT @saabmagalona: RT Flood in UERM hospital is almost at 3rd floor where the nursery is. No rescuers the whole day. #RescuePH,Eyewitness
"RT @TrulyMadlyMigDC: RT The following are in need of HELP and RESCUE: PGH, UERM, UST Hospital. They need FOOD. #rescuePH",Eyewitness
"RT @johnebora: PGH, UERM, and UST Hospital are flooded. Supplies are running low. Patients and staff need food and water. #RescuePH",Eyewitness
"RT @iamagy: UERM HOSPITAL: brownout and ICU Patients on generator, generators about to die #RescuePH SOMEONE HELP THEM PLS",Eyewitness
RT @jdlumali: UST HOSPITAL IS RUNNING OUT OF FOOD AND THE GENERATORS ARE ABOUT TO DIE @RescuePH #RescuePH #ReliefPH,Eyewitness
RT @TagaFEUKaKung: UERM really needs help!! Flood is almost at 3rd floor where the nursery is. No rescuers the whole day. #RescuePH,Eyewitness
RT @jdlumali: UST HOSPITAL'S GENERATOR ALREADY DIED!!! PLEASE SEND SOME RESCUERS! @RescuePH #RescuePH #ReliefPH @TheMayorLIM,Eyewitness
"RT @mikkochondrion: Generators and gas are needed at the PGH, UERM and UST. PLEASE SEND HELP. RT!!! #ReliefPH #RescuePH",Eyewitness
"RT @loyoung: Please send over food, water and blankets to Trinity University of Asia High School along E. Rodriguez! Thank you! #RescuePH",Eyewitness
"RT PGH hospital staff, residents, nurses, patients need food and water. PGH is isolated by flood. Pls help if you can. #rescuePH",Eyewitness
"RT @esashamartinez: @saabmagalona Napadala na raw Red Cross sa UERM, as tweeted by @doblezeta of @MMDA. Babies'll be safe. #yay #RescuePH",NotEyewitness
"Melyn Pabustan with 3 kids Purok 3, Malanday, Marikina; their house is near the national high school RT please #rescuePH",Eyewitness
"#RescuePH Wilma Ubando Payod w/ 3 kids Purok 3, Malanday, Marikina; their house is near the national high school. @gmanews",Eyewitness
#rescuePH God Bless the Philippines!,NotEyewitness
RT @PioHerras: URGENT  - HELP IS NEEDED IN UST HOSPITAL. Flood has reached the building's 2nd level.  #rescuePH http://t.co/Fjr1KqgD,Eyewitness
@JltBoa: THE GENERATOR OF THE HOSPITAL JUST DIED PLS RESCUE THE PEOPLE @ UST UERM &amp; PGH HOSPITAL @MMDA #RESCUEPH RT &amp; SPREAD! HELP PLEASE,Eyewitness
"RT @TheMayorLIM: RT @noynoyaquino PLEASE HELP THE UST, UERM, and, PGH HOSPITALS. THEY NEED IT. @TheMayorLIM @gmanews @ANCALERTS #RescuePH”",NotEyewitness
RT @ilovejannav: PLEASE RT! UST HOSPITAL'S GENERATOR ALREADY DIED. PLEASE SEND SOME RESCUERS #rescuePH,Eyewitness
"RT @Solid_ABSCBN: Don't Panic to this Genesis 8:7-12 God promised to never do that again. THINK POSITIVE, Be POSITIVE.! Pinoys!! #rescuePH",NotEyewitness
"RT @ei_eL_19RN: @lou_delosreyes UERM HOSPITAL: brownout and ICU Patients on generator, generators about to die #RescuePH PLEASE RT",Eyewitness
!!!!! RT @jericteng16 PLEASE RT!! UST HOSPITAL'S GENERATOR ALREADY DIED!!! PLEASE SEND SOME RESCUERS! @RescuePH #RescuePH #ReliefPH,Eyewitness
RT: UST HOSPITAL'S GENERATOR ALREADY DIED!!! PLEASE SEND SOME RESCUERS! #RescuePH Pls RT,Eyewitness
"RT @ReinPunla: #RescuePH Melyn Pabustan w/ 3 kids 09175119505 Purok 3, Malanday, Marikina; their house is near the national high school. ...",Eyewitness
#reliefph At which we love God for no reason do Him a favor you do our selves an ideal favor:) http://t.co/p73fylOy,NotEyewitness
RT @JltBoa: THE GENERATOR OF THE HOSPITAL JUST DIED PLS RESCUE THE PEOPLE @ UST UERM &amp; PGH HOSPITAL @MMDA #RESCUEPH RT &amp; SPREAD!,Eyewitness
RT @DaveyPerry: Genesis 8:7-12. Today happens to be 8-7-12.  Let's just stay positive and continue praying for everyone's safety. #rescuePH,NotEyewitness
RT @Astroplus1: NASA BUBONG WITH 1Y/O BABY. CHARMAINE DEQUIT 64 LANGKA ST. BULELAK MALANDAY MARIKINA CITY 09172551204 #rescuePH,Eyewitness
RT @YTF_Philippines: UST HOSPITAL'S GENERATOR ALREADY DIED!!! PLEASE SEND SOME RESCUERS! @RescuePH #RescuePH #ReliefPH @TheMayorLIM  @AN ...,Eyewitness
"RT @xpeanutgalleryx: RT @varsitarianust: Generator at UST Hospital has already died. Doctors, patients in dire need of help. #reliefph",Eyewitness
